Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_hybrid
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_hybrid
Enphase Energy Inc : IQ6-60-2-US [208V],208,1.22879,230,237.181,32,-4.90807e-05,6.23574e-06,-0.0197464,-0.0646424,0.02,37,7.41192,27,37,3/11/2021,N
Enphase Energy Inc : IQ6-60-2-US [240V],240,0.986078,230,236.019,32,-2.19687e-05,-0.000229328,-0.0311339,-0.21359,0.03,37,7.37558,27,37,3/11/2021,N
Enphase Energy Inc : IQ6-60-5-US [208V],208,1.22879,230,237.181,32,-4.90807e-05,6.23574e-06,-0.0197464,-0.0646424,0.02,37,7.41192,27,37,3/11/2021,N
Enphase Energy Inc : IQ6-60-5-US [240V],240,0.986078,230,236.019,32,-2.19687e-05,-0.000229328,-0.0311339,-0.21359,0.03,37,7.37558,27,37,3/11/2021,N
Enphase Energy Inc : IQ6-60-ACM-US [208V],208,1.22879,230,237.181,32,-4.90807e-05,6.23574e-06,-0.0197464,-0.0646424,0.02,37,7.41192,27,37,3/11/2021,N
Enphase Energy Inc : IQ6-60-ACM-US [240V],240,0.986078,230,236.019,32,-2.19687e-05,-0.000229328,-0.0311339,-0.21359,0.03,37,7.37558,27,37,3/11/2021,N
Enphase Energy Inc : IQ6PLUS-72-2-US [208V],208,1.63884,280,289.693,36,-6.81829e-05,-1.80074e-05,0.00586674,-0.0293503,0.02,45,8.04704,27,45,3/11/2021,N
Enphase Energy Inc : IQ6PLUS-72-2-US [240V],240,1.55554,280,288.64,36,-4.21008e-05,-0.000199798,0.000662171,-0.0718989,0.03,45,8.01777,27,45,3/11/2021,N
Enphase Energy Inc : IQ6PLUS-72-5-US [208V],208,1.63884,280,289.693,36,-6.81829e-05,-1.80074e-05,0.00586674,-0.0293503,0.02,45,8.04704,27,45,3/11/2021,N
Enphase Energy Inc : IQ6PLUS-72-5-US [240V],240,1.55554,280,288.64,36,-4.21008e-05,-0.000199798,0.000662171,-0.0718989,0.03,45,8.01777,27,45,3/11/2021,N
Enphase Energy Inc : IQ6PLUS-72-ACM-US [208V],208,1.63884,280,289.693,36,-6.81829e-05,-1.80074e-05,0.00586674,-0.0293503,0.02,45,8.04704,27,45,3/11/2021,N
Enphase Energy Inc : IQ6PLUS-72-ACM-US [240V],240,1.55554,280,288.64,36,-4.21008e-05,-0.000199798,0.000662171,-0.0718989,0.02,45,8.01777,27,45,3/11/2021,N
Enphase Energy Inc : IQ6PLUS-ACB-LL [240V],240,4.53804,270,283.877,25,-0.000188559,-0.00164832,0.00974591,-0.0395777,0.07,28,11.3551,23,28,10/15/2018,N
Enphase Energy Inc : IQ7-60-2-US [208V],208,1.8,240,247.332,32,-8.95657e-05,-6.03502e-05,0.0321051,-0.00525308,0.025,37,7.72913,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-2-US [240V],240,1.8528,240,246.634,32,-6.77368e-05,-0.000382007,0.0319504,-0.0336967,0.025,37,7.70731,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-5-US [208V],208,1.8,240,247.332,32,-8.95657e-05,-6.03502e-05,0.0321051,-0.00525308,0.025,37,7.72913,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-5-US [240V],240,1.8528,240,246.634,32,-6.77368e-05,-0.000382007,0.0319504,-0.0336967,0.025,37,7.70731,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-ACM-US [208V],208,1.8,240,247.332,32,-8.95657e-05,-6.03502e-05,0.0321051,-0.00525308,0.025,37,7.72913,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-ACM-US [240V],240,1.8528,240,246.634,32,-6.77368e-05,-0.000382007,0.0319504,-0.0336967,0.025,37,7.70731,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-ACM-US-NM [208V],208,1.8,240,247.332,32,-8.95657e-05,-6.03502e-05,0.0321051,-0.00525308,0.025,37,7.72913,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-ACM-US-NM [240V],240,1.8528,240,246.634,32,-6.77368e-05,-0.000382007,0.0319504,-0.0336967,0.025,37,7.70731,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-E-ACM-US [208V],208,1.8,240,247.332,32,-8.95657e-05,-6.03502e-05,0.0321051,-0.00525308,0.025,37,7.72913,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-E-ACM-US [240V],240,1.8528,240,246.634,32,-6.77368e-05,-0.000382007,0.0319504,-0.0336967,0.025,37,7.70731,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-E-ACM-US-NM [208V],208,1.8,240,247.332,32,-8.95657e-05,-6.03502e-05,0.0321051,-0.00525308,0.025,37,7.72913,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-E-ACM-US-NM [240V],240,1.8528,240,246.634,32,-6.77368e-05,-0.000382007,0.0319504,-0.0336967,0.025,37,7.70731,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-E-US [208V],208,1.8,240,247.332,32,-8.95657e-05,-6.03502e-05,0.0321051,-0.00525308,0.025,37,7.72913,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-E-US [240V],240,1.8528,240,246.634,32,-6.77368e-05,-0.000382007,0.0319504,-0.0336967,0.025,37,7.70731,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-M-US [208V],208,1.8,240,247.332,32,-8.95657e-05,-6.03502e-05,0.0321051,-0.00525308,0.025,37,7.72913,27,37,6/1/2023,N
Enphase Energy Inc : IQ7-60-M-US [240V],240,1.8528,240,246.634,32,-6.77368e-05,-0.000382007,0.0319504,-0.0336967,0.025,37,7.70731,27,37,6/1/2023,N
Enphase Energy Inc : IQ7A-66-x-ACM-US-y-z-& [208V],208,1.68215,292.91,304.018,40.5,-7.23709e-05,2.42318e-05,-0.0030221,-0.0168827,0.045,43,7.50662,38,43,11/12/2020,N
Enphase Energy Inc : IQ7A-66-x-ACM-US-y-z-& [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/12/2020,N
Enphase Energy Inc : IQ7A-66-x-US-& [208V],208,1.68215,292.909,304.017,40.5,-7.23709e-05,2.42331e-05,-0.0030221,-0.0168827,0.045,43,7.50659,38,43,11/12/2020,N
Enphase Energy Inc : IQ7A-66-x-US-& [240V],240,1.80212,348.698,361.323,40.5,-5.76212e-05,4.7478e-06,0.00855034,-0.00969625,0.019,43,8.92155,38,43,11/12/2020,N
Enphase Energy Inc : IQ7A-72-2-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7A-72-2-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7A-72-5-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7A-72-5-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7A-72-ACM-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7A-72-ACM-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7A-72-E-ACM-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7A-72-E-ACM-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7A-72-E-ACM-US-NM [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7A-72-E-ACM-US-NM [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7A-72-E-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7A-72-E-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7A-72-M-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7A-72-M-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7AS-66-2-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7AS-66-2-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7AS-66-5-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7AS-66-5-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7AS-66-ACM-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7AS-66-ACM-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7AS-66-ACM-US-NM [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7AS-66-ACM-US-NM [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7AS-66-ACM-US-RMA [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7AS-66-ACM-US-RMA [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7AS-66-E-ACM-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7AS-66-E-ACM-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7AS-66-E-ACM-US-NM [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7AS-66-E-ACM-US-NM [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7AS-66-E-US [208V],208,1.68215,290,300.946,40.5,-7.23709e-05,2.79796e-05,-0.0030221,-0.0168827,0.045,43,7.43076,38,43,6/1/2023,N
Enphase Energy Inc : IQ7AS-66-E-US [240V],240,1.80212,349,361.641,40.5,-5.76212e-05,4.52234e-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,11/1/2022,N
Enphase Energy Inc : IQ7GPLUS-72-2-US [240V],240,1.31248,298,307.159,37,-4.53149e-05,-0.000752616,-0.042107,-0.0779671,0.03,45,8.30161,29,45,n/a,N
Enphase Energy Inc : IQ7HS-66-ACM-US [208V],208,1.7633,367,380.332,40.5,-6.84318e-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,9/12/2022,N
