Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Units,,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,
[0],lib_manufacturer,cec_material,lib_is_bifacial,,,cec_area,lib_length,lib_width,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,,
FuturaSun Silk Nova Duetto All Black FU 420MV, FuturaSun, Mono-c-Si,1,420,420,1.88,,,54,14.09,38.06,13.34,31.49,0.0063405,-0.0951500,45.0,1.3146951,14.1025177,3.7226979e-12,0.1821840,205.0673819,-2.5906727,-0.29,N,2024.10.24,24/10/2024
FuturaSun Silk Nova Duetto All Black FU 430MV, FuturaSun, Mono-c-Si,1,430,430,1.88,,,54,14.25,38.44,13.50,31.86,0.0064125,-0.0961000,45.0,1.3285342,14.2617447,3.8260968e-12,0.1772509,215.0612919,-2.4630228,-0.29,N,2024.10.24,24/10/2024
FuturaSun Silk Nova Duetto All Black FU 440MV, FuturaSun, Mono-c-Si,1,440,440,1.9981080,,,48,15.84,35.15,14.85,29.63,0.0071280,-0.0878750,45.0,1.2310627,15.8603334,6.1438527e-12,0.1074877,83.7343116,0.5910840,-0.29,N,2025.02.227,27/02/2025
FuturaSun Silk Nova Duetto All Black FU 445MV, FuturaSun, Mono-c-Si,1,445,445,1.9981080,,,48,15.91,35.31,14.92,29.83,0.0071595,-0.0882750,45.0,1.2377994,15.9293231,6.3353614e-12,0.1025508,84.4367421,0.8082725,-0.29,N,2025.02.227,27/02/2025
FuturaSun Silk Nova Duetto All Black FU 450MV, FuturaSun, Mono-c-Si,1,450,450,1.9981080,,,48,15.97,35.48,14.99,30.03,0.0071865,-0.0887000,45.0,1.2443222,15.9879066,6.4477914e-12,0.0984411,87.7946374,0.9196333,-0.29,N,2025.02.227,27/02/2025
JA Solar JAM72S30-530/MR,JA Solar,Mono-c-Si,0,529.879,498.7,2.52,,,72,13.72,49.3,12.83,41.3,0.004802,-0.129166,43.9,1.79051,13.7393,1.47252e-11,0.184861,131.202,4.42066,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72D30-535/MB,JA Solar,Mono-c-Si,1,535.35,502,2.52,,,72,13.79,49.5,12.9,41.5,0.0053781,-0.129195,44.8,1.80634,13.8086,1.68721e-11,0.180396,133.94,5.8859,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72S30-535/MR,JA Solar,Mono-c-Si,0,535.35,503.5,2.52,,,72,13.79,49.5,12.9,41.5,0.0048265,-0.12969,43.9,1.79816,13.8089,1.4892e-11,0.181823,132.876,4.47183,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72D30-540/MB,JA Solar,Mono-c-Si,1,539.552,506.8,2.52,,,72,13.86,49.6,12.97,41.6,0.0054054,-0.129456,44.8,1.81001,13.8783,1.6971e-11,0.178458,135.525,5.89125,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72S30-540/MR,JA Solar,Mono-c-Si,0,539.552,508.3,2.52,,,72,13.86,49.6,12.97,41.6,0.004851,-0.129952,43.9,1.80182,13.8785,1.49794e-11,0.179881,134.433,4.47709,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72D30-545/MB,JA Solar,Mono-c-Si,1,545.072,511.6,2.52,,,72,13.93,49.8,13.04,41.8,0.0054327,-0.129978,44.8,1.81769,13.9478,1.71612e-11,0.17548,137.28,5.94256,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72S30-545/MR,JA Solar,Mono-c-Si,0,545.072,513.2,2.52,,,72,13.93,49.8,13.04,41.8,0.0048755,-0.130476,43.9,1.80946,13.9481,1.51475e-11,0.176902,136.161,4.52783,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72D30-550/MB,JA Solar,Mono-c-Si,1,550.62,516.4,2.52,,,72,14,49.9,13.11,42,0.00546,-0.130239,44.8,1.82357,14.0167,1.78363e-11,0.164846,138.077,6.23131,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72S30-550/MR,JA Solar,Mono-c-Si,0,550.62,518,2.52,,,72,14,49.9,13.11,42,0.0049,-0.130738,43.9,1.81531,14.017,1.57448e-11,0.166268,136.949,4.8135,-0.33,N,2023.10.31,11/16/2022
JA Solar JAM72S30-555/MR,JA Solar,Mono-c-Si,0,554.878,522.8,2.52,,,72,14.07,50.1,13.18,42.1,0.0049245,-0.131262,43.9,1.82077,14.0873,1.54051e-11,0.172086,139.558,4.58359,-0.33,N,2023.10.31,11/16/2022
Jinko Solar Co. Ltd JKM400M-72BL,Jinko Solar Co. Ltd,Mono-c-Si,0,400.32,369.6,1.92,,,72,10.36,49.8,9.6,41.7,0.004662,-0.153882,45.4,1.98649,10.3753,1.29879e-10,0.208976,141.487,7.7493,-0.391,N,2023.10.31,11/16/2022
Jinko Solar Co. Ltd JKM400M-72L,Jinko Solar Co. Ltd,Mono-c-Si,0,400.32,368.2,1.92,,,72,10.36,49.8,9.6,41.7,0.0069412,-0.154878,45.6,2.06279,10.3732,3.28857e-10,0.191759,150.054,15.0952,-0.406,N,2023.10.31,11/16/2022
Jinko Solar Co. Ltd JKM400M-72L-V,Jinko Solar Co. Ltd,Mono-c-Si,0,400.32,368.6,1.92,,,72,10.36,49.8,9.6,41.7,0.00518,-0.1494,45.5,2.01651,10.3745,1.88762e-10,0.202172,144.742,14.3289,-0.402,N,2023.10.31,11/16/2022
Jinko Solar Co. Ltd JKMS400M-72L-TI,Jinko Solar Co. Ltd,Mono-c-Si,0,400.32,368.2,1.92,,,72,10.36,49.8,9.6,41.7,0.0069412,-0.154878,45.6,2.06279,10.3732,3.28857e-10,0.191759,150.054,15.0952,-0.406,N,2023.10.31,11/16/2022
Jinko Solar Co. Ltd JKMS400M-72L-V-TI,Jinko Solar Co. Ltd,Mono-c-Si,0,400.32,368.6,1.92,,,72,10.36,49.8,9.6,41.7,0.00518,-0.1494,45.5,2.01651,10.3745,1.88762e-10,0.202172,144.742,14.3289,-0.402,N,2023.10.31,11/16/2022
LONGi Green Energy Technology Co. Ltd. LR4-72HIH-445M,LONGi Green Energy Technology Co. Ltd.,Mono-c-Si,0,444.96,415.1,2.17,,,72,11.4,49.8,10.8,41.2,0.00456,-0.133962,45.6,1.8192,11.4069,1.45984e-11,0.274417,455.156,3.02378,-0.34,N,2023.10.31,11/16/2022
LONGi Green Energy Technology Co. Ltd. LR4-72HIH-450M,LONGi Green Energy Technology Co. Ltd.,Mono-c-Si,0,451.26,419.9,2.17,,,72,11.5,50,10.9,41.4,0.0046,-0.1345,45.6,1.82683,11.5065,1.48054e-11,0.269514,478.952,3.06672,-0.34,N,2023.10.31,11/16/2022
Trina Solar TSM-NEG18R.28,Trina Solar,Mono-c-Si,0,505,505,2.2237740,,,54,15.89,40.30,15.09,33.50,0.0063560,-0.0967200,43,1.3816679,15.9003133,3.3853006e-12,0.1609879,248.0387246,-0.2326226,-0.29,N,2025.03.02,02/03/2025
Trina Solar TSM-665DE21,Trina Solar,Mono-c-Si,0,665.38,630.7,3.08,,,44,18.57,45.9,17.51,38,0.0059424,-0.098226,43.3,1.57379,18.5935,3.93417e-12,0.167113,132.145,12.069,-0.301,N,2023.10.31,11/16/2022
Trina Solar TSM-665DEG21C.20,Trina Solar,Mono-c-Si,1,666.037,628,3.08,,,66,18.5,46.1,17.39,38.3,0.00629,-0.106491,44.6,1.5986,18.5262,5.41833e-12,0.157943,111.33,6.57494,-0.303,N,2023.10.31,11/16/2022
Trina Solar TSM-670DE21,Trina Solar,Mono-c-Si,0,670.41,635.5,3.08,,,44,18.62,46.1,17.55,38.2,0.0059584,-0.098654,43.3,1.5816,18.6439,4.01246e-12,0.165157,128.445,12.2293,-0.301,N,2023.10.31,11/16/2022
Trina Solar TSM-670DEG21C.20,Trina Solar,Mono-c-Si,1,671.055,632.8,3.08,,,66,18.55,46.3,17.43,38.5,0.006307,-0.106953,44.6,1.60651,18.5766,5.5261e-12,0.155978,108.82,6.72645,-0.303,N,2023.10.31,11/16/2022
WINAICO WSP-340MX,WINAICO,Mono-c-Si,0,340.515,314.6,1.75,,,60,10.74,40.6,10.35,32.9,0.0045108,-0.116116,45.1,1.54464,10.9631,4.17889e-11,0.293637,442.286,5.78537,-0.381,N,2023.10.31,11/16/2022
